layers,units,lr,w,avg_recall,avg_f1,avg_fpr
3,16,0.001,12,0.9834649244064402,0.8778289699163999,0.21962326247717961
3,16,0.005,12,0.9396170589943734,0.863217331614045,0.21445919546010148
1,8,0.001,13,0.9261175520099474,0.8465885034669526,0.22203207565198593
1,8,0.005,13,0.9311466400791465,0.8206075508160258,0.24751992040238102
1,16,0.001,13,0.9641483129242626,0.8598438340163295,0.22584934181184607
1,16,0.005,13,0.960441958318156,0.8433532535161806,0.24562551889576945
2,8,0.001,13,0.9223407222226744,0.8421235861722524,0.22263632436614103
2,8,0.005,13,0.9576724482555372,0.849369387407925,0.22893703750424046
2,16,0.001,13,0.9635327411647372,0.8631503429041517,0.2203099071802191
2,16,0.005,13,0.9584123294992528,0.8650033094193661,0.21811195330260275
3,8,0.001,13,0.9823284984807403,0.8680408245485485,0.22263586254452977
3,8,0.005,13,0.9864723023940762,0.8715578489960748,0.2178439912581724
3,16,0.001,13,0.9696516899274507,0.8683786478081901,0.21917036672653606
3,16,0.005,13,0.9568706322852039,0.8572273141073499,0.22296297847424223
1,8,0.001,14,0.9568059868156874,0.845856895999721,0.24480862342065118
1,8,0.005,14,0.954296740832068,0.8594170369149463,0.22407172264705863
1,16,0.001,14,0.9563408628521574,0.8380544978868395,0.24861229426711864
1,16,0.005,14,0.9610548531563049,0.8630120879387878,0.22158953391907543
2,8,0.001,14,0.9765477917713085,0.8655397266802479,0.2262730695273368
2,8,0.005,14,0.9770091009942036,0.8518484196792917,0.24429735791753138
2,16,0.001,14,0.9738837616201039,0.8676183462126275,0.2239814540408193
2,16,0.005,14,0.9618980948865756,0.8660877483279725,0.22033737518770655
3,8,0.001,14,0.9709111508958836,0.8628967989971976,0.2243062362511708
3,8,0.005,14,0.9792004217469341,0.87562703597479,0.21829263922513897
3,16,0.001,14,0.9780954093614083,0.8750813783357712,0.21829392656120725
3,16,0.005,14,0.984132110906393,0.8747176249692586,0.22146722611866626
1,8,0.001,15,0.9153429900596043,0.7961706861334725,0.2590339507592717
1,8,0.005,15,0.933525760498045,0.8254382355486335,0.24511983804351942
1,16,0.001,15,0.9495069295372225,0.8503901979035596,0.22722923329428663
1,16,0.005,15,0.9624202288622083,0.8588468977738855,0.2208019138078437
