Sample     Label        p(atk)   Status     Verdict
622        ?            0.6114   ATTACK     [??] No label
623        attack       0.6096   ATTACK     [TP] Correct
624        ?            0.6085   ATTACK     [??] No label
625        attack       0.6090   ATTACK     [TP] Correct
626        ?            0.6014   ATTACK     [??] No label
627        attack       0.6053   ATTACK     [TP] Correct
628        ?            0.6012   ATTACK     [??] No label
630        ?            0.5645   ATTACK     [??] No label
631        attack       0.5022   ATTACK     [TP] Correct
632        ?            0.5478   ATTACK     [??] No label
633        attack       0.5318   ATTACK     [TP] Correct
634        ?            0.5540   ATTACK     [??] No label
635        attack       0.5561   ATTACK     [TP] Correct
636        ?            0.5619   ATTACK     [??] No label
637        attack       0.5361   ATTACK     [TP] Correct
639        attack       0.5545   ATTACK     [TP] Correct
641        attack       0.5330   ATTACK     [TP] Correct
643        attack       0.5323   ATTACK     [TP] Correct
645        attack       0.5296   ATTACK     [TP] Correct
647        attack       0.5468   ATTACK     [TP] Correct
648        ?            0.6523   ATTACK     [??] No label
649        attack       0.6045   ATTACK     [TP] Correct
650        ?            0.6001   ATTACK     [??] No label
651        attack       0.6024   ATTACK     [TP] Correct
652        ?            0.6102   ATTACK     [??] No label
653        attack       0.6062   ATTACK     [TP] Correct
654        ?            0.6078   ATTACK     [??] No label
655        attack       0.6070   ATTACK     [TP] Correct
656        ?            0.6029   ATTACK     [??] No label
657        attack       0.6049   ATTACK     [TP] Correct
658        ?            0.6128   ATTACK     [??] No label
659        attack       0.6087   ATTACK     [TP] Correct
660        ?            0.6037   ATTACK     [??] No label
661        attack       0.6061   ATTACK     [TP] Correct
662        ?            0.6029   ATTACK     [??] No label
663        attack       0.6046   ATTACK     [TP] Correct
664        ?            0.6086   ATTACK     [??] No label
665        attack       0.6067   ATTACK     [TP] Correct
666        ?            0.6094   ATTACK     [??] No label
667        attack       0.6081   ATTACK     [TP] Correct
668        ?            0.6015   ATTACK     [??] No label
669        attack       0.6050   ATTACK     [TP] Correct
670        ?            0.6114   ATTACK     [??] No label
671        attack       0.6083   ATTACK     [TP] Correct
672        ?            0.6008   ATTACK     [??] No label
673        attack       0.6045   ATTACK     [TP] Correct
674        ?            0.6074   ATTACK     [??] No label
675        attack       0.6058   ATTACK     [TP] Correct
676        ?            0.6061   ATTACK     [??] No label
677        attack       0.6060   ATTACK     [TP] Correct
678        ?            0.6044   ATTACK     [??] No label
679        attack       0.6050   ATTACK     [TP] Correct
680        ?            0.5826   ATTACK     [??] No label
681        attack       0.5942   ATTACK     [TP] Correct
682        ?            0.5962   ATTACK     [??] No label
683        attack       0.5964   ATTACK     [TP] Correct
684        ?            0.5956   ATTACK     [??] No label
685        attack       0.5973   ATTACK     [TP] Correct
686        ?            0.6015   ATTACK     [??] No label
687        attack       0.6005   ATTACK     [TP] Correct
688        ?            0.5991   ATTACK     [??] No label
689        attack       0.6011   ATTACK     [TP] Correct
690        ?            0.6219   ATTACK     [??] No label
691        attack       0.6126   ATTACK     [TP] Correct
692        ?            0.6158   ATTACK     [??] No label
693        attack       0.6142   ATTACK     [TP] Correct
694        ?            0.6069   ATTACK     [??] No label
695        attack       0.6104   ATTACK     [TP] Correct
696        ?            0.6040   ATTACK     [??] No label
697        attack       0.6074   ATTACK     [TP] Correct
698        ?            0.6100   ATTACK     [??] No label
699        attack       0.6086   ATTACK     [TP] Correct
700        ?            0.5909   ATTACK     [??] No label
701        attack       0.5989   ATTACK     [TP] Correct
702        ?            0.5993   ATTACK     [??] No label
703        attack       0.5992   ATTACK     [TP] Correct
704        ?            0.5998   ATTACK     [??] No label
705        attack       0.5993   ATTACK     [TP] Correct
706        ?            0.5998   ATTACK     [??] No label
707        attack       0.5997   ATTACK     [TP] Correct
708        ?            0.5968   ATTACK     [??] No label
709        attack       0.5981   ATTACK     [TP] Correct
710        ?            0.6164   ATTACK     [??] No label
711        attack       0.6081   ATTACK     [TP] Correct
712        ?            0.6036   ATTACK     [??] No label
713        attack       0.6059   ATTACK     [TP] Correct
714        ?            0.6080   ATTACK     [??] No label
715        attack       0.6070   ATTACK     [TP] Correct
716        ?            0.6073   ATTACK     [??] No label
717        attack       0.6072   ATTACK     [TP] Correct
718        ?            0.6065   ATTACK     [??] No label
719        attack       0.6068   ATTACK     [TP] Correct
720        ?            0.6002   ATTACK     [??] No label
721        attack       0.6035   ATTACK     [TP] Correct
722        ?            0.6044   ATTACK     [??] No label
723        attack       0.6040   ATTACK     [TP] Correct
724        ?            0.6048   ATTACK     [??] No label
725        attack       0.6043   ATTACK     [TP] Correct
726        ?            0.6062   ATTACK     [??] No label
727        attack       0.6053   ATTACK     [TP] Correct
728        ?            0.6101   ATTACK     [??] No label
729        attack       0.6077   ATTACK     [TP] Correct
730        ?            0.6121   ATTACK     [??] No label
731        attack       0.6100   ATTACK     [TP] Correct
732        ?            0.6081   ATTACK     [??] No label
733        attack       0.6090   ATTACK     [TP] Correct
734        ?            0.6083   ATTACK     [??] No label
735        attack       0.6086   ATTACK     [TP] Correct
736        ?            0.6027   ATTACK     [??] No label
737        attack       0.6055   ATTACK     [TP] Correct
738        ?            0.6002   ATTACK     [??] No label
739        attack       0.6030   ATTACK     [TP] Correct
740        ?            0.6039   ATTACK     [??] No label
741        attack       0.6034   ATTACK     [TP] Correct
742        ?            0.6072   ATTACK     [??] No label
743        attack       0.6053   ATTACK     [TP] Correct
744        ?            0.6018   ATTACK     [??] No label
745        attack       0.6035   ATTACK     [TP] Correct
746        ?            0.6095   ATTACK     [??] No label
747        attack       0.6066   ATTACK     [TP] Correct
748        ?            0.6085   ATTACK     [??] No label
749        attack       0.6076   ATTACK     [TP] Correct
750        ?            0.6083   ATTACK     [??] No label
751        attack       0.6079   ATTACK     [TP] Correct
752        ?            0.6082   ATTACK     [??] No label
753        attack       0.6081   ATTACK     [TP] Correct
754        ?            0.6134   ATTACK     [??] No label
755        attack       0.6108   ATTACK     [TP] Correct
756        ?            0.6064   ATTACK     [??] No label
757        attack       0.6086   ATTACK     [TP] Correct
758        ?            0.6079   ATTACK     [??] No label
759        attack       0.6082   ATTACK     [TP] Correct
760        ?            0.6066   ATTACK     [??] No label
761        attack       0.6074   ATTACK     [TP] Correct
762        ?            0.6055   ATTACK     [??] No label
763        attack       0.6065   ATTACK     [TP] Correct
764        ?            0.6012   ATTACK     [??] No label
765        attack       0.6039   ATTACK     [TP] Correct
766        ?            0.6074   ATTACK     [??] No label
767        attack       0.6056   ATTACK     [TP] Correct
768        ?            0.6062   ATTACK     [??] No label
769        attack       0.6059   ATTACK     [TP] Correct
770        ?            0.6051   ATTACK     [??] No label
771        attack       0.6055   ATTACK     [TP] Correct
772        ?            0.6022   ATTACK     [??] No label
773        attack       0.6038   ATTACK     [TP] Correct
774        ?            0.6058   ATTACK     [??] No label
775        attack       0.6049   ATTACK     [TP] Correct
776        ?            0.5995   ATTACK     [??] No label
777        attack       0.6020   ATTACK     [TP] Correct
778        ?            0.5975   ATTACK     [??] No label
779        attack       0.5999   ATTACK     [TP] Correct
780        ?            0.6027   ATTACK     [??] No label
781        attack       0.6013   ATTACK     [TP] Correct
782        ?            0.6033   ATTACK     [??] No label
783        attack       0.6022   ATTACK     [TP] Correct
784        ?            0.5974   ATTACK     [??] No label
785        attack       0.5997   ATTACK     [TP] Correct
786        ?            0.5739   ATTACK     [??] No label
800        ?            0.4520   BENIGN     [??] No label
802        ?            0.5109   ATTACK     [??] No label
803        attack       0.5458   ATTACK     [TP] Correct
804        ?            0.6205   ATTACK     [??] No label
805        attack       0.5848   ATTACK     [TP] Correct
806        ?            0.6358   ATTACK     [??] No label
807        attack       0.6133   ATTACK     [TP] Correct
808        ?            0.6077   ATTACK     [??] No label
809        attack       0.6105   ATTACK     [TP] Correct
810        ?            0.6056   ATTACK     [??] No label
811        attack       0.6081   ATTACK     [TP] Correct
812        ?            0.6001   ATTACK     [??] No label
813        attack       0.6041   ATTACK     [TP] Correct
814        ?            0.6006   ATTACK     [??] No label
815        attack       0.6022   ATTACK     [TP] Correct
816        ?            0.5985   ATTACK     [??] No label
817        attack       0.6006   ATTACK     [TP] Correct
818        ?            0.6015   ATTACK     [??] No label
819        attack       0.6010   ATTACK     [TP] Correct
820        ?            0.6019   ATTACK     [??] No label
821        attack       0.6015   ATTACK     [TP] Correct
822        ?            0.6092   ATTACK     [??] No label
823        attack       0.6055   ATTACK     [TP] Correct
